from_date,rate_pct
2000-01-01,11.0
2001-02-01,9.5
2002-03-01,9.0
2003-03-01,8.0
2011-12-01,8.6
2012-04-01,8.8
2013-04-01,8.7
2016-04-01,8.1
2016-10-01,8.0
2017-04-01,7.9
2017-07-01,7.8
2018-01-01,7.6
2018-10-01,8.0
2019-07-01,7.9
2020-04-01,7.1
