code,scheme,pfm
SM008018,NPS TRUST A/C HDFC PENSION FUND MANAGEMENT LIMITED SCHEME E - TIER I DIRECT,HDFC Pension Fund Management Limited
SM008015,NPS TRUST A/C HDFC PENSION FUND MANAGEMENT LIMITED SCHEME E - TIER I GS,HDFC Pension Fund Management Limited
SM008020,NPS TRUST A/C HDFC PENSION FUND MANAGEMENT LIMITED SCHEME G - TIER I DIRECT,HDFC Pension Fund Management Limited
SM008017,NPS TRUST A/C HDFC PENSION FUND MANAGEMENT LIMITED SCHEME G - TIER I GS,HDFC Pension Fund Management Limited
SM007019,NPS TRUST A/C ICICI PRUDENTIAL PENSION FUND  SCHEME C - TIER I DIRECT,ICICI Prudential Pension Fund Management Co. Ltd.
SM007016,NPS TRUST A/C ICICI PRUDENTIAL PENSION FUND  SCHEME C - TIER I GS,ICICI Prudential Pension Fund Management Co. Ltd.
SM007020,NPS TRUST A/C ICICI PRUDENTIAL PENSION FUND  SCHEME G - TIER I DIRECT,ICICI Prudential Pension Fund Management Co. Ltd.
SM007017,NPS TRUST A/C ICICI PRUDENTIAL PENSION FUND  SCHEME G - TIER I GS,ICICI Prudential Pension Fund Management Co. Ltd.
SM007018,NPS TRUST A/C ICICI PRUDENTIAL PENSION FUND SCHEME E - TIER I DIRECT,ICICI Prudential Pension Fund Management Co. Ltd.
SM007015,NPS TRUST A/C ICICI PRUDENTIAL PENSION FUND SCHEME E - TIER I GS,ICICI Prudential Pension Fund Management Co. Ltd.
SM005017,NPS TRUST A/C KOTAK PENSION FUND SCHEME C - TIER I DIRECT,Kotak Mahindra Pension Fund Ltd.
SM005014,NPS TRUST A/C KOTAK PENSION FUND SCHEME C - TIER I GS,Kotak Mahindra Pension Fund Ltd.
SM005016,NPS TRUST A/C KOTAK PENSION FUND SCHEME E - TIER I DIRECT,Kotak Mahindra Pension Fund Ltd.
SM005013,NPS TRUST A/C KOTAK PENSION FUND SCHEME E - TIER I GS,Kotak Mahindra Pension Fund Ltd.
SM005018,NPS TRUST A/C KOTAK PENSION FUND SCHEME G - TIER I DIRECT,Kotak Mahindra Pension Fund Ltd.
SM005015,NPS TRUST A/C KOTAK PENSION FUND SCHEME G - TIER I GS,Kotak Mahindra Pension Fund Ltd.
SM003026,NPS TRUST A/C LIC PENSION FUND SCHEME C - TIER I DIRECT,LIC Pension Fund Ltd.
SM003023,NPS TRUST A/C LIC PENSION FUND SCHEME C - TIER I GS,LIC Pension Fund Ltd.
SM003025,NPS TRUST A/C LIC PENSION FUND SCHEME E - TIER I DIRECT,LIC Pension Fund Ltd.
SM003022,NPS TRUST A/C LIC PENSION FUND SCHEME E - TIER I GS,LIC Pension Fund Ltd.
SM003027,NPS TRUST A/C LIC PENSION FUND SCHEME G - TIER I DIRECT,LIC Pension Fund Ltd.
SM003024,NPS TRUST A/C LIC PENSION FUND SCHEME G - TIER I GS,LIC Pension Fund Ltd.
SM001026,NPS TRUST A/C SBI PENSION FUND SCHEME C - TIER I DIRECT,SBI Pension Funds Pvt. Ltd.
SM001023,NPS TRUST A/C SBI PENSION FUND SCHEME C - TIER I GS,SBI Pension Funds Pvt. Ltd.
SM001025,NPS TRUST A/C SBI PENSION FUND SCHEME E - TIER I DIRECT,SBI Pension Funds Pvt. Ltd.
SM001022,NPS TRUST A/C SBI PENSION FUND SCHEME E - TIER I GS,SBI Pension Funds Pvt. Ltd.
SM001027,NPS TRUST A/C SBI PENSION FUND SCHEME G - TIER I DIRECT,SBI Pension Funds Pvt. Ltd.
SM001024,NPS TRUST A/C SBI PENSION FUND SCHEME G - TIER I GS,SBI Pension Funds Pvt. Ltd.
SM011015,NPS TRUST A/C TATA PENSION FUND MANAGEMENT PRIVATE LIMITED SCHEME C - TIER I DIRECT,Tata Pension Fund Management Private Limited
SM011012,NPS TRUST A/C TATA PENSION FUND MANAGEMENT PRIVATE LIMITED SCHEME C - TIER I GS,Tata Pension Fund Management Private Limited
SM011014,NPS TRUST A/C TATA PENSION FUND MANAGEMENT PRIVATE LIMITED SCHEME E - TIER I DIRECT,Tata Pension Fund Management Private Limited
SM011011,NPS TRUST A/C TATA PENSION FUND MANAGEMENT PRIVATE LIMITED SCHEME E - TIER I GS,Tata Pension Fund Management Private Limited
SM011016,NPS TRUST A/C TATA PENSION FUND MANAGEMENT PRIVATE LIMITED SCHEME G - TIER I DIRECT,Tata Pension Fund Management Private Limited
SM011013,NPS TRUST A/C TATA PENSION FUND MANAGEMENT PRIVATE LIMITED SCHEME G - TIER I GS,Tata Pension Fund Management Private Limited
SM001004,SBI PENSION FUND SCHEME C - TIER I,SBI Pension Funds Pvt. Ltd.
SM001003,SBI PENSION FUND SCHEME E - TIER I,SBI Pension Funds Pvt. Ltd.
SM001005,SBI PENSION FUND SCHEME G - TIER I,SBI Pension Funds Pvt. Ltd.
SM011002,TATA PENSION MANAGEMENT LIMITED SCHEME C - TIER I,Tata Pension Fund Management Private Limited
SM011001,TATA PENSION MANAGEMENT LIMITED SCHEME E - TIER I,Tata Pension Fund Management Private Limited
SM011003,TATA PENSION MANAGEMENT LIMITED SCHEME G - TIER I,Tata Pension Fund Management Private Limited
SM002004,UTI RETIREMENT SOLUTIONS PENSION FUND SCHEME C - TIER I,UTI Pension Fund Limited.
SM002003,UTI RETIREMENT SOLUTIONS PENSION FUND SCHEME E - TIER I,UTI Pension Fund Limited.
SM002005,UTI RETIREMENT SOLUTIONS PENSION FUND SCHEME G - TIER I,UTI Pension Fund Limited.
